Season,PowerSeed,TeamName
2017,1,Villanova
2017,2,Kansas
2017,3,North Carolina
2017,4,Gonzaga
2017,5,Arizona
2017,6,Kentucky
2017,7,Louisville
2017,8,Duke
2017,9,Florida St
2017,10,UCLA
2017,11,Oregon
2017,12,Baylor
2017,13,West Virginia
2017,14,Butler
2017,15,Purdue
2017,16,Florida
2017,17,Notre Dame
2017,18,Minnesota
2017,19,Iowa St
2017,20,Virginia
2017,21,Maryland
2017,22,Cincinnati
2017,23,Creighton
2017,24,SMU
2017,25,St Mary's CA
2017,26,Dayton
2017,27,Michigan
2017,28,South Carolina
2017,29,Northwestern
2017,30,Arkansas
2017,31,Miami FL
2017,32,Wisconsin
2017,33,Vanderbilt
2017,34,Seton Hall
2017,35,Michigan St
2017,36,Virginia Tech
2017,37,VCU
2017,38,Wichita St
2017,39,Oklahoma St
2017,40,Marquette
2017,41,Xavier
2017,42,Kansas St
2017,43,Rhode Island
2017,44,USC
2017,45,Princeton
2017,46,MTSU
2017,47,Nevada
2017,48,UNC Wilmington
2017,49,Bucknell
2017,50,Winthrop
2017,51,Vermont
2017,52,ETSU
2017,53,FL Gulf Coast
2017,54,Kent
2017,55,Iona
2017,56,New Mexico St
2017,57,North Dakota
2017,58,N Kentucky
2017,59,Jacksonville St
2017,60,Troy
2017,61,S Dakota St
2017,62,TX Southern
2017,63,UC Davis
2017,64,Mt St Mary's
2016,1,Kansas
2016,2,North Carolina
2016,3,Virginia
2016,4,Oregon
2016,5,Oklahoma
2016,6,Michigan St
2016,7,Xavier
2016,8,Villanova
2016,9,Texas A&M
2016,10,Utah
2016,11,West Virginia
2016,12,Miami FL
2016,13,Duke
2016,14,Iowa St
2016,15,Kentucky
2016,16,California
2016,17,Baylor
2016,18,Purdue
2016,19,Indiana
2016,20,Maryland
2016,21,Texas
2016,22,Seton Hall
2016,23,Notre Dame
2016,24,Arizona
2016,25,Oregon St
2016,26,Dayton
2016,27,Wisconsin
2016,28,Iowa
2016,29,St Joseph's PA
2016,30,Texas Tech
2016,31,USC
2016,32,Colorado
2016,33,Cincinnati
2016,34,Butler
2016,35,Providence
2016,36,Connecticut
2016,37,VCU
2016,38,Syracuse
2016,39,Pittsburgh
2016,40,Temple
2016,41,Northern Iowa
2016,42,Gonzaga
2016,43,Michigan
2016,44,Wichita St
2016,45,Yale
2016,46,Ark Little Rock
2016,47,Chattanooga
2016,48,S Dakota St
2016,49,UNC Wilmington
2016,50,Iona
2016,51,Stony Brook
2016,52,Hawaii
2016,53,WI Green Bay
2016,54,Fresno St
2016,55,SF Austin
2016,56,Buffalo
2016,57,CS Bakersfield
2016,58,MTSU
2016,59,Weber St
2016,60,UNC Asheville
2016,61,Holy Cross
2016,62,Hampton
2016,63,FL Gulf Coast
2016,64,Austin Peay
2015,1,Kentucky
2015,2,Villanova
2015,3,Duke
2015,4,Wisconsin
2015,5,Arizona
2015,6,Gonzaga
2015,7,Virginia
2015,8,Kansas
2015,9,Baylor
2015,10,Iowa St
2015,11,Oklahoma
2015,12,Notre Dame
2015,13,North Carolina
2015,14,Georgetown
2015,15,Louisville
2015,16,Maryland
2015,17,Arkansas
2015,18,Utah
2015,19,Northern Iowa
2015,20,West Virginia
2015,21,Xavier
2015,22,SMU
2015,23,Providence
2015,24,Butler
2015,25,VA Commonwealth
2015,26,Iowa
2015,27,Michigan St
2015,28,Wichita St
2015,29,Oregon
2015,30,San Diego St
2015,31,NC State
2015,32,Cincinnati
2015,33,Oklahoma St
2015,34,St John's
2015,35,LSU
2015,36,Purdue
2015,37,Ohio St
2015,38,Davidson
2015,39,Georgia
2015,40,Indiana
2015,41,Mississippi
2015,42,UCLA
2015,43,Dayton
2015,44,Texas
2015,45,Wofford
2015,46,SF Austin
2015,47,Wyoming
2015,48,Buffalo
2015,49,Harvard
2015,50,E Washington
2015,51,UC Irvine
2015,52,Valparaiso
2015,53,Georgia St
2015,54,UAB
2015,55,SUNY Albany
2015,56,Northeastern
2015,57,TX Southern
2015,58,N Dakota St
2015,59,Belmont
2015,60,New Mexico St
2015,61,Coastal Car
2015,62,Robert Morris
2015,63,Lafayette
2015,64,Hampton
2014,1,Florida
2014,2,Arizona
2014,3,Wichita St
2014,4,Virginia
2014,5,Villanova
2014,6,Michigan
2014,7,Wisconsin
2014,8,Kansas
2014,9,Iowa St
2014,10,Duke
2014,11,Creighton
2014,12,Syracuse
2014,13,Michigan St
2014,14,Louisville
2014,15,San Diego St
2014,16,UCLA
2014,17,Cincinnati
2014,18,St Louis
2014,19,Oklahoma
2014,20,VCU
2014,21,North Carolina
2014,22,Massachusetts
2014,23,Baylor
2014,24,Ohio St
2014,25,Connecticut
2014,26,Texas
2014,27,Oregon
2014,28,New Mexico
2014,29,Memphis
2014,30,Kentucky
2014,31,Gonzaga
2014,32,Colorado
2014,33,G Washington
2014,34,Kansas St
2014,35,Oklahoma St
2014,36,Pittsburgh
2014,37,St Joseph's PA
2014,38,Arizona St
2014,39,BYU
2014,40,Stanford
2014,41,Providence
2014,42,Tennessee
2014,43,Nebraska
2014,44,Dayton
2014,45,Harvard
2014,46,NC State
2014,47,N Dakota St
2014,48,SF Austin
2014,49,Delaware
2014,50,Manhattan
2014,51,New Mexico St
2014,52,Tulsa
2014,53,NC Central
2014,54,Mercer
2014,55,Louisiana
2014,56,W Michigan
2014,57,WI Milwaukee
2014,58,Wofford
2014,59,American Univ
2014,60,E Kentucky
2014,61,Coastal Car
2014,62,Cal Poly
2014,63,Weber St
2014,64,Albany NY
2013,1,Louisville
2013,2,Kansas
2013,3,Indiana
2013,4,Gonzaga
2013,5,Ohio St
2013,6,Miami FL
2013,7,Georgetown
2013,8,Duke
2013,9,New Mexico
2013,10,Marquette
2013,11,Florida
2013,12,Michigan St
2013,13,Kansas St
2013,14,Syracuse
2013,15,Michigan
2013,16,St Louis
2013,17,Wisconsin
2013,18,UNLV
2013,19,VCU
2013,20,Oklahoma St
2013,21,Arizona
2013,22,Butler
2013,23,UCLA
2013,24,Memphis
2013,25,Notre Dame
2013,26,Illinois
2013,27,San Diego St
2013,28,Creighton
2013,29,Pittsburgh
2013,30,NC State
2013,31,North Carolina
2013,32,Colorado St
2013,33,Wichita St
2013,34,Temple
2013,35,Villanova
2013,36,Missouri
2013,37,Iowa St
2013,38,Colorado
2013,39,Oklahoma
2013,40,Cincinnati
2013,41,Belmont
2013,42,Bucknell
