School,Odds
UConn,425
Houston,500
Purdue,600
North Carolina,1400
Tennessee,1500
Arizona,1600
Auburn,1800
Iowa State ,2000
Kentucky,2200
Marquette,2500
Creighton,2500
Illinois,3000
Duke,3000
Baylor,3500
Alabama,4000
Kansas,4000
Wisconsin,6000
Florida,6000
Gonzaga,6000
BYU,6000
Saint Marys,7000
San Diego State,8000
Michigan State,10000
Texas Tech,10000
Clemson,10000
New Mexico,12000
Mississippi State,12000
Texas,12000
Washington State,12000
TCU,12000
South Carolina,12000
Northwestern,14000
Nevada,14000
Nebraska,14000
Utah State,15000
North Carolina State,16000
Texas A&M,16000
Florida Atlantic ,16000
Dayton,16000
Colorado State,18000
Drake,18000
Oregon,18000
Virginia,20000
Colorado,20000
James Madison,25000
Boise State,25000
McNeese,30000
Grand Canyon,30000
Vermont,40000
Samford ,50000
Duquesne,50000
Oakland,50000
Charleston,50000
Yale,50000
Akron,60000
UAB,60000
Morehead State,80000
Long Beach State,80000
Howard,100000
Saint Peters,100000
Montana State,100000
Grambling,100000
Colgate,100000
Wagner,100000
Stetson,100000
Longwood,100000
